50,74,67,51,70,73,41,30,31,29,5,7,10,15,5,2
59,61,58,74,70,62,68,60,70,68,10,11,19,13,10,1
57,32,61,60,75,68,64,62,64,68,12,14,24,11,9,1
36,60,63,49,65,63,29,21,20,19,10,14,18,16,16,0
63,74,80,75,73,77,63,50,58,56,9,12,21,16,11,2
70,62,63,63,79,71,54,43,48,53,12,10,20,14,16,1
71,58,60,64,76,72,68,57,64,60,12,8,12,9,13,2
46,70,73,58,58,75,20,28,32,22,9,13,8,8,14,1
61,20,40,55,70,19,56,61,56,60,15,5,15,8,12,0
61,54,59,66,79,65,46,57,62,58,13,15,14,11,14,0
67,60,39,46,85,66,22,23,24,22,8,6,15,12,12,0
57,37,42,60,67,55,67,63,66,63,13,8,12,13,6,0
55,60,48,63,64,58,44,32,37,32,10,18,46,17,17,0
20,20,20,22,56,23,24,20,20,20,72,67,69,70,74,1
74,71,61,72,74,76,59,34,46,46,11,17,48,19,19,2
39,79,83,62,61,77,41,27,34,23,7,12,17,12,9,2
61,69,64,61,80,71,36,23,27,32,6,9,18,16,15,1
18,16,18,30,65,45,37,17,18,19,71,66,62,69,70,1
73,47,57,69,78,67,66,64,67,72,9,13,21,16,10,1
19,16,20,35,57,34,19,15,13,10,62,58,65,62,67,0
64,54,43,64,74,59,57,54,56,62,10,10,25,14,10,0
69,67,45,67,82,78,29,24,23,25,12,7,20,13,15,1
53,69,65,60,68,65,50,18,22,18,11,16,21,13,10,0
61,61,60,64,74,66,44,24,36,23,10,15,14,8,8,1
60,62,67,64,73,67,39,17,21,16,14,14,12,15,15,1
61,58,52,63,69,66,61,51,58,56,16,15,11,11,15,0
54,37,64,66,63,65,72,63,67,66,10,14,20,10,12,1
61,42,53,61,62,56,59,59,59,59,9,14,21,15,9,0
13,17,17,23,30,20,17,13,16,12,60,58,52,54,57,0
47,65,64,58,65,65,27,18,34,20,9,9,15,15,13,0
69,54,63,71,72,68,69,70,72,71,13,11,13,11,8,2
50,62,66,66,77,67,49,40,36,32,6,12,8,11,8,1
51,64,61,68,61,72,25,25,21,25,12,9,10,10,7,0
61,42,59,73,54,76,69,47,65,56,6,9,6,10,5,1
